"Tweet_ID","Hashtag"
"1252084576102551555","#BersamaLawanCorona"
"1252084576102551555","#COVID19"
"1252084576102551555","#CTARSAFOUNDATION"
"1252084576102551555","#DonasiCorona"
"1252084576102551555","#IndonesiaPulih"
"1252084576102551555","#MediaLawanCOVID19"
"1252084576102551555","#TRANSMEDIA"
"1252084576538841089","#Covid19mx"
"1252084576538841089","#PrevenirEsSalud"
"1252084576538841089","#QuédateEnCasa"
"1252084576815439878","#BersamaLawanCorona"
"1252084576815439878","#MediaLawanCovid19"
"1252084577230872583","#DeLaSemana"
"1252084577243238401","#SepaQue"
"1252084577264381952","#COVID19"
"1252084577272823808","#coronavirus"
"1252084577272823808","#Internacionales"
"1252084577272823808","#QuédateEnCasa"
"1252084577327132672","#Coronavirus"
"1252084577327132672","#Galicia"
"1252084577402748928","#Covid19<U+0001F637>"
"1252084577402748928","#OpiniónLSR"
"1252084577490948096","#Covid19"
"1252084577490948096","#Mundo"
"1252084577490948098","#coronavirus"
"1252084577562058753","#CoronaVirus"
"1252084577562058753","#CoronaVirus"
"1252084577562058753","#coronavirusindia"
"1252084577562058753","#coronavirusindia"
"1252084577562058753","#CoronavirusOutbreak"
"1252084577562058753","#CoronavirusOutbreak"
"1252084577562058753","#COVID19"
"1252084577562058753","#COVID19"
"1252084577562058753","#COVID2019"
"1252084577562058753","#COVID2019"
"1252084577562058753","#StayAtHomeSaveLives"
"1252084577562058753","#StayAtHomeSaveLives"
"1252084577562058753","#StayHome"
"1252084577562058753","#StayHome"
"1252084577562058753","#StayHomeStaySafe"
"1252084577562058753","#StayHomeStaySafe"
"1252084577578909698","#appledaily"
"1252084577578909698","#appledailytw"
"1252084577578909698","#ChinaPneumonia"
"1252084577578909698","#coronavirus"
"1252084577578909698","#COVID19"
"1252084577578909698","#VideoTalk<U+6B63><U+59B9><U+76F4><U+64CA><U+82F1><U+570B><U+5C01><U+57CE><U+6158><U+6CC1><U+767C><U+71D2><U+4E0D><U+80FD><U+5C31><U+91AB><U+89AA><U+53CB><U+4E0D><U+5E78><U+78BA><U+8A3A>"
"1252084577578909698","#WuhanPneumonia"
"1252084577620725760","#coronavirus"
"1252084577633308673","#COVID19"
"1252084577641705474","#coronavirus"
"1252084577641705474","#FelizLunes"
