"Tweet_ID","Hashtag"
"1305642486744965122","#LGBT"
"1305642486849843201","#DixieBlazers"
"1305642486849843201","#TrailblazerWeekly"
"1305642487155953664","#Gossip|"
"1305642487252484096","#CNN"
"1305642487252484096","#TaiwanCanHelp"
"1305642487252484096","#TaiwanIsHelping"
"1305642487277588480","#coronavirus"
"1305642487277588480","#Israel"
"1305642487353147393","#Salud"
"1305642487378145285","#COVID19"
"1305642487378145285","#volunteering"
"1305642487416061954","#TrumpHidTheTruth"
"1305642487441096705","#LSU"
"1305642487558492161","#coronavirus"
"1305642487558492161","#COVID19"
"1305642487596240896","#KTVONews"
"1305642487873118208","#VA"
"1305642488011595782","#COVID19"
"1305642488074436608","#COVID19"
"1305642488074436608","#NiagaraFalls"
"1305642488074436608","#StCatharines"
"1305642488074436608","#Welland"
"1305642488338821127","#coronavirus"
"1305642488338821127","#COVID19"
"1305642488343015424","#covid19"
"1305642488343015424","#covid19"
"1305642488343015424","#covid19"
"1305642488343015424","#covid19"
"1305642488343015424","#covid19"
"1305642488343015424","#wisconsin"
"1305642488343015424","#wisconsin"
"1305642488343015424","#wisconsin"
"1305642488343015424","#wisconsin"
"1305642488343015424","#wisconsin"
"1305642488380743681","#COVID19"
"1305642488380743681","#LATAM"
"1305642488380743681","#SaludReproductiva"
"1305642488380743681","#SaludSexual"
"1305642488695336965","#besafebesmart"
"1305642488695336965","#doyourpart"
"1305642488695336965","#wearamask"
"1305642488758112256","#BersatuL"
"1305642489311715330","#COVID19"
"1305642489928396800","#Colombia"
"1305642489928396800","#Covid19"
"1305642490083581954","#Covid19"
"1305642490364661760","#BREAKING"
"1305642490364661760","#COVID19"
"1305642490947678210","#CuarentenaRadicalDisciplinada"
"1305642491237072898","#URGENTE"
"1305642492855894016","#mtnews"
"1305642493208342528","#SouthAfrica"
"1305642493208342528","#SouthAfrica"
"1305642493359386625","#Coronavirus"
"1305642493359386625","#Coronavirus"
"1305642493359386625","#MasAllaDelDolor"
"1305642493359386625","#MasAllaDelDolor"
"1305642493669761025","#LibertadPresosPolíticosCiviles"
"1305642493669761025","#LibertadPresosPolíticosMilitares"
"1305642493849907202","#CoronaVirusUpdates"
"1305642493849907202","#COVID19"
"1305642493849907202","#India"
"1305642493849907202","#IndiaFightsCorona"
"1305642493849907202","#StayHome"
"1305642494575607809","#BREAKING"
"1305642494827270144","#Africa"
"1305642495578116097","#coronavirus"
"1305642496219918336","#Greece"
"1305642496219918336","#news"
"1305642497289445377","#Entertainment"
"1305642497289445377","#PreityZinta"
"1305642497289445377","#Quarantine"
"1305642497289445377","#UAE"
"1305642497893380099","#ShanaTova"
"1305642498094780418","#coronavirus"
"1305642498094780418","#COVIDー19"
"1305642498094780418","#COVID19"
"1305642498254163969","#COVID19"
"1305642498451267590","#automotive"
"1305642498451275777","#cyberattacks"
"1305642498451275777","#cybercrime"
"1305642498451275777","#databr"
"1305642498451275777","#infosec"
"1305642498451275777","#malware"
"1305642498451275777","#phishing"
"1305642498451275777","#ransomware"
"1305642498648309760","#AlJazeera"
"1305642498648309760","#secondlockdown"
"1305642498744868871","#clean"
"1305642498744868871","#Coronavirus"
"1305642498744868871","#COVID19"
"1305642498744868871","#disinfect"
"1305642498744868871","#excellentservice"
"1305642498744868871","#Floorite"
"1305642498744868871","#germs"
"1305642498744868871","#killingbacteria"
"1305642498744868871","#transparencyinservice"
