"Tweet_ID","Hashtag"
"1304404323762401280","#covidsymptomstudyapp"
"1304404324261396482","#NgopiKompasTV"
"1304404324282368000","#Africa"
"1304404324282368000","#Africa"
"1304404324282368000","#Africa"
"1304404324282368000","#COVID19"
"1304404324282368000","#COVID19"
"1304404324282368000","#COVID19"
"1304404325809221635","#LBCI"
"1304404325809221635","#LBCILebanon"
"1304404325809221635","#LBCINews"
"1304404325842784256","#AndhraPradesh"
"1304404325842784256","#cases"
"1304404325842784256","#corona"
"1304404325842784256","#coronavirus"
"1304404325842784256","#CoronaVirusUpdates"
"1304404325842784256","#COVID19"
"1304404325842784256","#covidupdates"
"1304404325842784256","#dailyupdate"
"1304404325842784256","#exposed"
"1304404325842784256","#India"
"1304404325842784256","#MultipleUpdates"
"1304404325842784256","#news"
"1304404325842784256","#NewsUpdates"
"1304404325842784256","#pandemic"
"1304404325842784256","#survey"
"1304404325842784256","#update"
"1304404325985382401","#CIHHOMELESSNESS"
"1304404326010425345","#Act4Palestine"
"1304404326010425345","#Gaza"
"1304404326010425345","#SaveGazaFromCorona"
"1304404326018936832","#COVID19"
"1304404326018936832","#EthicsTalk"
"1304404326018936832","#healthcare"
"1304404326018936832","#opioid"
"1304404326073368579","#Gaza"
"1304404326111117312","#business"
"1304404326111117312","#data"
"1304404326111117312","#digital"
"1304404326111117312","#tech"
"1304404326169931781","#covid19"
"1304404326169931781","#exercise"
"1304404326169931781","#homeworkout"
"1304404326169931781","#peloton"
"1304404326194884610","#COVID19"
"1304404326232793088","#MustWatchEng"
"1304404326232793088","#TakeDownCCP"
"1304404326232793088","#Truth"
"1304404326249496576","#AllezRedStar"
"1304404326249496576","#REDFCVB"
"1304404326350311424","#comedymusic"
"1304404326350311424","#jonnybaptists"
"1304404326350311424","#tenet"
"1304404326379671553","#COVID19"
"1304404326379671553","#InformeMedidasEconomicas"
"1304404326412988423","#ContamosContigo"
"1304404326412988423","#SiPuedesQuédateEnCasa"
"1304404326425784321","#Governo"
"1304404326425784321","#Governo"
"1304404326425784321","#QuartaRepubblica"
"1304404326425784321","#QuartaRepubblica"
"1304404326673195008","#Coronavirus"
"1304404326673195008","#COVID19"
"1304404326673195008","#Lockdown"
"1304404326673195008","#Opoyi"
"1304404326673195008","#OpoyiSpanish"
"1304404326673195008","#Spain"
"1304404328753647618","#Antibody"
"1304404328753647618","#DrugAbuse"
"1304404328753647618","#DrugTesting"
"1304404328753647618","#Health"
"1304404328753647618","#HealthWorkers"
"1304404328753647618","#Medical"
"1304404328753647618","#MedicalDisposables"
"1304404328753647618","#SARSCoV2"
"1304404328753647618","#TheNewNormal"
"1304404328753647618","#Virus"
"1304404330037084161","#COVID19"
"1304404330037084161","#polio"
"1304404330083094530","#COVID19"
"1304404330246803456","#Smart912AtuServicio"
"1304404330246803456","#Smart912Tips"
"1304404330376605696","#Coronavirus"
"1304404330536153092","#VoteBidenHarrisToSaveAmerica"
"1304404330548621315","#recovery"
"1304404330548621315","#recovery"
"1304404330548621315","#recovery"
"1304404330548621315","#travel"
"1304404330548621315","#travel"
"1304404330548621315","#travel"
"1304404330578145280","#NeverForget"
"1304404330578145280","#NeverForget"
"1304404330603098114","#COVID19"
"1304404330691272705","#CambioWeb"
"1304404330691272705","#COVIDー19"
"1304404330691272705","#Nacionales"
"1304404330703990784","#COVID19"
"1304404330703990784","#HongKong"
"1304404330800279552","#nmpol"
"1304404330993254400","#coronavirus"
"1304404330993254400","#CoronavirusStories"
"1304404330993254400","#COVID19"
"1304404330993254400","#pandemic"
"1304404331043729410","#SeputariNewsRCTI"
"1304404331060432897","#EconomíaProductivaYParticipativa"
"1304404331060432897","#EnVideo"
"1304404331085660160","#covid19"
"1304404331085660160","#covid19vaccine"
"1304404331085660160","#vaccination"
"1304404331131625473","#PlanRa"
"1304404331131625473","#PlanRa"
"1304404331135823872","#ExpertoTec"
"1304404331135823872","#ProfesoresTec"
"1304404331425337344","#ContamosContigo"
"1304404331425337344","#TransmiteSalud"
"1304404331442180097","#COVID19"
"1304404333136543748","#COVID19"
"1304404333136543748","#Yvelines"
"1304404333547499520","#coronavirus"
"1304404333547499520","#coronavirus"
"1304404333547499520","#coronavirus"
"1304404333547499520","#coronavirus"
"1304404333547499520","#coronavirus"
"1304404333547499520","#coronavirus"
"1304404333547499520","#COVID19"
"1304404333547499520","#COVID19"
"1304404333547499520","#COVID19"
"1304404333547499520","#COVID19"
"1304404333547499520","#COVID19"
"1304404333547499520","#COVID19"
"1304404334030082048","#coronavirus"
"1304404334030082048","#Quarantine"
"1304404334168416256","#BlepRising"
"1304404334193438720","#CoronaVirusUpdates"
"1304404334193438720","#COVID19"
"1304404334193438720","#India"
"1304404334193438720","#IndiaFightsCorona"
"1304404334193438720","#StayHome"
"1304404334491267075","#TemasekReview"
"1304404334524813313","#covid19"
"1304404334524813313","#olderadults"
"1304404334533206017","#IEEE"
"1304404334533206017","#IEEEISC2"
"1304404334533206017","#SmartCities"
"1304404334579388418","#architects"
"1304404334579388418","#architecture"
"1304404334579388418","#COVID19"
"1304404334579388418","#future"
"1304404334579388418","#hospitality"
"1304404334579388418","#hospitalitydesign"
"1304404334579388418","#hotels"
"1304404334579388418","#innovation"
"1304404334579388418","#interiordesign"
"1304404334604685312","#coronavirus"
"1304404334604685312","#COVIDー19"
"1304404334604685312","#COVID19"
"1304404334646620160","#Covid19"
"1304404334646620160","#Lockdown"
"1304404334843629568","#NuevaNormalidad"
"1304404334843629568","#SanoRetorno"
"1304404334843699201","#BaghdadPost"
"1304404334843699201","#COVID19"
"1304404334843699201","#Iraq"
"1304404334860361728","#SinExcusas"
"1304404334868721669","#EtonCollege"
"1304404334868721669","#Flight"
"1304404334868721669","#FunFact"
"1304404334868721669","#Jeju"
"1304404334868721669","#Korea"
"1304404334868721669","#Seoul"
"1304404335200145408","#FFTFriday"
"1304404335200145408","#WhatMattersToYouMattersToUs"
"1304404335233658880","#gunviolence"
"1304404335233658880","#gunviolence"
"1304404335233658880","#gunviolence"
"1304404335233658880","#gunviolence"
"1304404335233658880","#gunviolence"
"1304404335233658880","#insidethenra"
"1304404335233658880","#insidethenra"
"1304404335233658880","#insidethenra"
"1304404335233658880","#insidethenra"
"1304404335233658880","#insidethenra"
"1304404335250403328","#Covid19"
"1304404335250403328","#Covid19"
"1304404335283953665","#Covid19"
"1304404335283953665","#EULaw"
"1304404335464456192","#COVID19"
"1304404335535718400","#COVID19"
"1304404338974965766","#COVID19"
"1304404338974965766","#futureofwork"
"1304404338974965766","#remoteworking"
"1304404339017084928","#imbecilli"
"1304404339017084928","#Israele"
"1304404339017084928","#lockdown"
