Tweet_ID,NER_Text,Start_Pos,Eng_Pos,NER_Label,Prob
1220239745193635840,shanghai,26,34,LOC,1
1220239745193635840,wuhan,120,125,LOC,0.9991
1220239749383888897,cdc,53,56,ORG,0.6318
1220239749383888897,us,94,98,LOC,1
1220239760561541120,macau,16,21,LOC,0.7597
1220239760561541120,lunarnewyear,51,63,MISC,0.9427
1220239760561541120,wuhancoronavirus,114,130,ORG,0.5918
1220239779406798849,china,10,15,LOC,0.9996
1220239779406798849,chubailiang,32,43,PER,0.9957
1220239779406798849,beijing,63,70,LOC,1
1220239779406798849,wuhan,74,79,LOC,1
1220239793596129282,united states &amp,94,112,LOC,0.8703
1220239793596129282,sweden,114,120,LOC,1
1220239805252014086,wuhan,108,113,LOC,1
1220239812550189062,emilylindin worldwide,1,22,ORG,0.4793
1220239813531459585,chinese,35,42,MISC,0.9999
1220239819848081408,wuhan,18,23,LOC,1
1220239819848081408,central building,48,64,LOC,0.9618
1220239824965095425,wuhancoronavirus,20,36,ORG,0.427
1220239824965095425,chinese,84,91,MISC,0.9998
1220239824965095425,caixin &amp,106,117,ORG,0.8127
1220239824965095425,beijing news,119,131,ORG,0.9758
1220239827129524224,michael letko,37,50,PER,0.8221
1220239830300295168,shanghai,26,34,LOC,1
1220239830300295168,wuhan,120,125,LOC,0.9991
1220239834582667265,us,0,4,LOC,0.9999
1220239834582667265,taiwan,15,21,LOC,1
1220239834582667265,focus taiwan,64,76,ORG,0.9575
1220239867071909888,coronavirus wuhan,65,82,ORG,0.6937
1220239870649520129,wuhan,0,5,LOC,0.9998
1220239870649520129,china,20,25,LOC,1
1220239870649520129,wuhan wuhancoronavirus,48,70,ORG,0.6853
1220239870649520129,wuhanoutbreak wuhanoutbreak china chinavirus,82,126,ORG,0.7019
1220239871932944384,wuhan,16,21,LOC,1
1220239871932944384,central,57,64,LOC,0.5589
1220239871932944384,wuhancoronavirus,81,97,LOC,0.9498
1220239871932944384,hongkong,110,118,ORG,0.7323
1220239890744365056,hubei,42,47,LOC,0.9996
1220239895320461313,wuhan,22,27,LOC,0.9999
1220239895320461313,wuhan,118,123,LOC,1
1220239920997912576,wuhan,66,71,LOC,1
1220239928014958592,department of health,24,44,ORG,0.9981
1220239957756825606,tx,22,24,LOC,0.6555
1220239957756825606,cdc,65,68,ORG,0.9985
1220239958033649665,hongkong,53,61,LOC,0.9424
1220239958033649665,wuhan,123,128,LOC,1
1220239970595590145,japanese,24,32,MISC,0.9997
1220240009292214273,china,23,28,LOC,0.9989
1220240009292214273,chubailiang,45,56,PER,0.9725
1220240009292214273,beijing,76,83,LOC,1
1220240009292214273,wuhan,87,92,LOC,1
1220240048072736769,wuhan,31,36,LOC,1
1220240048072736769,resident evil,59,72,MISC,0.8502
1220240052275441664,jesus christ,217,229,PER,0.8769
1220240054456504321,sars,30,34,MISC,0.714
1220240054456504321,china,113,118,LOC,1
1220240062668926977,hong kong,29,38,LOC,0.9945
1220240062668926977,cathay pacific,57,71,ORG,0.9913
1220240062668926977,cathaypacific,73,86,ORG,0.7747
1220240062668926977,cathay dragon,91,104,ORG,0.937
1220240062668926977,dragonair,106,115,ORG,0.601
1220240063948316673,shanghai,26,34,LOC,1
1220240063948316673,wuhan,120,125,LOC,0.9991
1220240073561649152,kdka,1,5,ORG,0.8139
1220240076233498624,wuhan,37,42,LOC,1
1220240076233498624,wuhan,92,97,LOC,0.9999
1220240076841594880,china,72,77,LOC,1
1220240077227380737,wuhan,22,27,LOC,0.9999
1220240077227380737,wuhan,118,123,LOC,1
1220240091030810626,hubei,42,47,LOC,0.9996
1220240093975154688,department of health,24,44,ORG,0.9981
1220240115525615617,shanghai,26,34,LOC,1
1220240115525615617,wuhan,120,125,LOC,0.9991
1220240118155485184,china viewer,16,28,ORG,0.6655
1220240118155485184,chinese,74,81,MISC,0.9995
1220240129563848709,wuhancoronavirus,58,74,ORG,0.3531
1220240138304798720,wuhan,68,73,LOC,0.9978
1220240138304798720,wuhancoronavirus,104,120,ORG,0.9166
1220240178159214592,china,17,22,LOC,0.9999
1220240194366066688,macau,16,21,LOC,0.7597
1220240194366066688,lunarnewyear,51,63,MISC,0.9427
1220240194366066688,wuhancoronavirus,114,130,ORG,0.5918
1220240203824029696,wuhan,39,44,LOC,1
1220240203824029696,wuhanpneumonia  wuhancoronavirus,49,81,ORG,0.42
1220240207594737664,wuhancoronavirus,27,43,ORG,0.6502
1220240207594737664,hongkong,53,61,LOC,0.9999
1220240207594737664,china,63,68,LOC,1
1220240207594737664,wuhan,80,85,LOC,0.9873
1220240207594737664,hk secretary of food&amp;hea,113,141,ORG,0.7145
1220240233419001856,wuhan,30,35,LOC,0.9999
1220240233419001856,wuhan,72,77,LOC,1
1220240233419001856,hongkong,97,105,LOC,1
1220240233419001856,hkgoldenforum,108,121,PER,0.9315
1220240235692314624,chinese,102,109,MISC,0.9998
1220240235692314624,wuhanco,131,138,ORG,0.456
1220240237999415297,macau,16,21,LOC,0.7597
1220240237999415297,lunarnewyear,51,63,MISC,0.9427
