"","V1","V2","V3","V4","total"
"89",2020,2,8,"#coronavirusoutbreak",6333
"90",2020,2,8,"#wuhancoronavirus",4534
"91",2020,2,9,"#coronavirus",115724
"92",2020,2,9,"#china",28354
"93",2020,2,9,"#wuhan",22999
"94",2020,2,9,"#pakstandswithchina",15138
"95",2020,2,9,"#themoreyouknow",13309
"96",2020,2,10,"#coronavirus",142637
"97",2020,2,10,"#china",29867
"98",2020,2,10,"#wuhan",21628
"99",2020,2,10,"#wuhancoronavirus",9699
"100",2020,2,10,"#coronavirusoutbreak",6315
"101",2020,2,11,"#coronavirus",136337
"102",2020,2,11,"#china",29351
"103",2020,2,11,"#wuhan",17814
"104",2020,2,11,"#covid19",10759
"105",2020,2,11,"#wuhancoronavirus",9857
"106",2020,2,12,"#coronavirus",122120
"107",2020,2,12,"#covid19",28304
"108",2020,2,12,"#china",24641
"109",2020,2,12,"#wuhan",13304
"110",2020,2,12,"#coronavirusoutbreak",7624
"111",2020,2,13,"#coronavirus",133952
"112",2020,2,13,"#covid19",35051
"113",2020,2,13,"#china",30091
"114",2020,2,13,"#wuhan",15110
"115",2020,2,13,"#coronavirusoutbreak",10636
"116",2020,2,14,"#coronavirus",115341
"117",2020,2,14,"#covid19",32006
"118",2020,2,14,"#china",31027
"119",2020,2,14,"#wuhan",14227
"120",2020,2,14,"#coronavirusoutbreak",9615
"121",2020,2,15,"#coronavirus",100515
"122",2020,2,15,"#covid19",40746
"123",2020,2,15,"#china",26685
"124",2020,2,15,"#wuhan",15080
"125",2020,2,15,"#coronavirusoutbreak",8387
"126",2020,2,16,"#coronavirus",92996
"127",2020,2,16,"#covid19",31723
"128",2020,2,16,"#china",22658
"129",2020,2,16,"#wuhan",13379
"130",2020,2,16,"#coronavirusoutbreak",11320
"131",2020,2,17,"#coronavirus",99956
"132",2020,2,17,"#covid19",34783
"133",2020,2,17,"#china",26868
"134",2020,2,17,"#wuhan",12554
"135",2020,2,17,"#coronavirusoutbreak",9082
"136",2020,2,18,"#coronavirus",102768
"137",2020,2,18,"#covid19",39134
"138",2020,2,18,"#china",28557
"139",2020,2,18,"#wuhan",13011
"140",2020,2,18,"#coronavirusoutbreak",5907
"141",2020,2,19,"#coronavirus",75495
"142",2020,2,19,"#covid19",30523
"143",2020,2,19,"#china",25846
"144",2020,2,19,"#wuhan",9218
"145",2020,2,19,"#coronavirusoutbreak",5126
"146",2020,2,20,"#coronavirus",87398
"147",2020,2,20,"#covid19",40317
"148",2020,2,20,"#china",28962
"149",2020,2,20,"#wuhan",10081
"150",2020,2,20,"#coronavirusoutbreak",6948
"151",2020,2,21,"#coronavirus",135040
"152",2020,2,21,"#covid19",53132
"153",2020,2,21,"#china",24952
"154",2020,2,21,"#corona",13466
"155",2020,2,21,"#wuhan",9553
"156",2020,2,22,"#coronavirus",136580
"157",2020,2,22,"#covid19",40511
"158",2020,2,22,"#china",18661
"159",2020,2,22,"#coronavirusitalia",7276
"160",2020,2,22,"#wuhan",7095
"161",2020,2,23,"#coronavirus",29401
"162",2020,2,23,"#covid19",7207
"163",2020,2,23,"#china",1602
"164",2020,2,23,"#iran",1562
"165",2020,2,23,"#covid19italia",1141
"166",2020,2,24,"#coronavirus",136588
"167",2020,2,24,"#covid19",43345
"168",2020,2,24,"#china",10858
"169",2020,2,24,"#iran",6222
"170",2020,2,24,"#wuhan",5543
"171",2020,2,25,"#coronavirus",118729
"172",2020,2,25,"#covid19",27947
"173",2020,2,25,"#china",9506
"174",2020,2,25,"#covid<u+30fc>19",6842
"175",2020,2,25,"#coronavirius",6691
"176",2020,2,26,"#coronavirus",119247
"177",2020,2,26,"#covid19",27460
"178",2020,2,26,"#covid<u+30fc>19",14455
"179",2020,2,26,"#coronavirusoutbreak",9297
"180",2020,2,26,"#china",7763
"181",2020,2,27,"#coronavirus",119947
"182",2020,2,27,"#covid19",22983
"183",2020,2,27,"#covid<u+30fc>19",9726
"184",2020,2,27,"#coronavirusoutbreak",8756
"185",2020,2,27,"#china",5839
"186",2020,2,28,"#coronavirus",190667
"187",2020,2,28,"#covid19",40747
"188",2020,2,28,"#covid<u+30fc>19",24552
"189",2020,2,28,"#coronavirusoutbreak",13284
"190",2020,2,28,"#coronavirusupdates",13169
"191",2020,2,29,"#coronavirus",494200
"192",2020,2,29,"#covid19",94224
"193",2020,2,29,"#china",29935
"194",2020,2,29,"#hoax",20100
"195",2020,2,29,"#covid2019",16718
"196",2020,3,1,"#coronavirus",325517
"197",2020,3,1,"#covid19",84166
"198",2020,3,1,"#china",25433
"199",2020,3,1,"#coronavirusupdate",14767
"200",2020,3,1,"#covid<u+30fc>19",11298
"201",2020,3,2,"#coronavirus",102450
"202",2020,3,2,"#covid19",35386
"203",2020,3,2,"#covid<u+30fc>19",9136
"204",2020,3,2,"#coronavirusupdate",6742
"205",2020,3,2,"#coronaoutbreak",5727
"206",2020,3,3,"#coronavirus",373376
"207",2020,3,3,"#covid19",148582
"208",2020,3,3,"#coronaoutbreak",20612
"209",2020,3,3,"#china",20558
"210",2020,3,3,"#michaelbloomberg",15000
"211",2020,3,4,"#coronavirus",365599
"212",2020,3,4,"#covid19",151310
"213",2020,3,4,"#china",25306
"214",2020,3,4,"#coronaoutbreak",15147
"215",2020,3,4,"#coronavirusoutbreak",14831
"216",2020,3,5,"#coronavirus",134814
"217",2020,3,5,"#covid19",37661
"218",2020,3,5,"#covid<u+30fc>19",24049
"219",2020,3,5,"#coronvirus",7154
"220",2020,3,5,"#china",5700
"221",2020,3,6,"#coronavirus",192463
"222",2020,3,6,"#covid<u+30fc>19",83377
"223",2020,3,6,"#covid19",40269
"224",2020,3,6,"#coronavirusoutbreak",8925
"225",2020,3,6,"#corona",5985
"226",2020,3,7,"#coronavirus",140005
"227",2020,3,7,"#covid<u+30fc>19",95925
"228",2020,3,7,"#covid19",60666
"229",2020,3,7,"#corona",5387
"230",2020,3,7,"#china",5198
"231",2020,3,8,"#coronavirus",116668
"232",2020,3,8,"#covid19",82091
"233",2020,3,8,"#covid<u+30fc>19",25409
"234",2020,3,8,"#covid2019",5082
"235",2020,3,8,"#china",4473
"236",2020,3,9,"#coronavirus",117557
"237",2020,3,9,"#covid19",65360
"238",2020,3,9,"#covid2019",13004
"239",2020,3,9,"#covid<u+30fc>19",10323
"240",2020,3,9,"#coronavirusoutbreak",6256
"241",2020,3,10,"#coronavirus",111242
"242",2020,3,10,"#covid19",64452
"243",2020,3,10,"#covid2019",12698
"244",2020,3,10,"#corona",11422
"245",2020,3,10,"#italy",6037
"246",2020,3,11,"#coronavirus",116594
