"","V4","total"
"197","#endpolicebrutalityinnigeranow",26827
"198","#noexammhrd",26818
"199","#speakup",26274
"200","#rohitsardana",26223
"201","#polriajakjagajarak",26086
"202","#delaymdcat2020",25929
"203","#kiitkissfightscovid19",25710
"204","#hidupsehatterapkan3m",25612
"205","#hrdpostponejeeneet",25506
"206","#dukungsehatkanbangsa",25210
"207","#pmmodi50000fmgdoctors",25122
"208","#demconvention",24899
"209","#wea",24650
"210","#ganemoslabatallaalcovid19",24609
"211","#noexamsincovid",24565
"212","#postponeacf",24220
"213","#macron",24108
"214","#lasaludesprimero",24095
"215","#siagalawancovid19",24043
"216","#vacunaesperanzayvida",23941
"217","#dirumahajalebihbaik",23498
"218","#flexibilizaciónparcial",23468
"219","#allesdichtmachen",23435
"220","#vamosvenciendoalcovid19",23428
"221","#unidosporlasalud",23328
"222","#iamagainstexamsincovid",23215
"223","#polriserukancucitangan",22944
"224","#abrazalavida",22845
"225","#vaksinasimelawanpandemi",22816
"226","#corruptkelly",22791
"227","#pleasepostponejeeneet",22559
"228","#mcconnellkillssickleave",22466
"229","#protecci�nysaludenmarcha",22421
"230","#doctorsday",22061
"231","#vaksinasianggotapolri",21992
"232","#kysen",21947
"233","#rapimtnipolri2021",21884
"234","#internalassessment",21774
"235","#sigamoscuidándonos",21754
"236","#protégetedelcovid19",21719
"237","#trumpliedpeopledied",21532
"238","#oursunshinesunoo",21439
"239","#c",21423
"240","#vivanlosm�dicosdelapatria",21300
"241","#haciaunanuevaan",21241
"242","#disiplinterapkan3m",21151
"243","#justiceforandresguardado",21133
"244","#cuarentenaestricta",20978
"245","#trumpsurrendered",20943
"246","#coronavirusupdates",20902
"247","#flexibilizaciónconsciente",20896
"248","#sinovac",20819
"249","#reforzarcontralacovid19",20773
"250","#keepsafefor",20772
"251","#saynotougcguidelines",20755
"252","#sputnikvparaelpueblo",20344
"253","#hoax",20100
"254","#tetapdirumahsaja",20082
"255","#coronaravirus",19983
"256","#patuhiprotokolcovid19",19909
"257","#dontbeaspreader",19799
"258","#ourvaccineourpride",19674
"259","#worldpraisepmikpolicies",19445
"260","#wakeupmhrd",19385
"261","#cuarentenaradicalreforzada",19352
"262","#love",19117
"263","#ncov",19058
"264","#pawankalyan",19037
"265","#taatiprokeshindarikerumunan",18989
"266","#hcq",18848
"267","#polriadaptasikebiasaanbaru",18771
"268","#covid20",18610
"269","#hbdmaheshbabu",18592
"270","#nnevvy",18571
"271","#polrikawaldistribusivaksin",18531
"272","#army",18488
"273","#congresstoolkitexposed",18487
"274","#electionday",18227
"275","#donateplasmasavelives",18164
"276","#sarsmustend",18113
"277","#nobelprize",17975
"278","#wujudkepedulianpolri",17931
"279","#stopasianhate",17811
"280","#opsketupatcegahcovid19",17802
"281","#covid19mx",17682
"282","#america",17641
"283","#daleunparaoalacovid19",17628
"284","#vote",17518
"285","#longweekendtaati3m",17495
"286","#sembakopolripeduli",17453
"287","#amitshah",17153
"288","#studentsinscforjustice",17139
"289","#chinavirus",17112
"290","#komarambheem",17075
"291","#prokesuntukkitasemua",16970
"292","#polriajakpakaimasker",16963
"293","#tnipolrijaganataru",16957
"294","#carelessaku",16872
"295","#may16coup",16709
"296","#dirumahaja",16641
"297","#radicalcontralacovid19",16505
"298","#minneapolisriot",16472
"299","#f�rmulaperfectaplan7m�s7",16206
"300","#wearmaskprotectlife",16126
"301","#cuidémonosmás",16091
"302","#descuidarseescontagiarse",15871
"303","#heels",15795
"304","#couvrefeu",15711
"305","#cancelboardexam",15709
"306","#bayern3racist",15667
"307","#thanksgiving",15647
"308","#jaganegarakita",15549
"309","#worldwar3",15526
"310","#maklumatkapolritaatprokes",15519
"311","#luchemoscontraelvirus",15478
"312","#pdmspreadingcovid",15473
"313","#leerdesbloquea",15313
"314","#cuarentenaesprevenir",15265
"315","#patuhiprokespadapilkada",15149
"316","#pakstandswithchina",15138
"317","#reconfinement",15077
"318","#hyundaix",15018
"319","#michaelbloomberg",15000
"320","#ipoh",14932
"321","#flexibilizaciónsegurayvigilada",14885
"322","#lacovid19noesjuego",14671
"323","#frenaelcontagio",14506
"324","#opinión",14447
"325","#unite2fightcorona",14383
"326","#cuarentenaradicalysegura",14081
"327","#apoyosedomex",14035
"328","#promoteallcollegestudents",14011
"329","#republican",14011
"330","#liburpanjangterapkan3m",13941
"331","#coronarvirus",13870
"332","#superjunior",13776
"333","#bingo",13724
"334","#envideo",13615
"335","#beirut",13537
"336","#nationallockdown",13521
"337","#juventudconcienteysolidaria",13519
"338","#diputadosporlapatria",13481
"339","#ajithfansawarenessforcovid",13401
"340","#reducemedicosfees",13352
"341","#themoreyouknow",13309
"342","#indonesiamaju",13257
"343","#hearthevoiceofmyanmar",13177
"344","#coronaupdate",13028
"345","#congresstoolkit",12806
"346","#retweet",12802
"347","#cancelclass12thboardexams2021",12770
"348","#taatprokessaatpilkada",12752
"349","#coronalockdown",12728
"350","#mutation",12686
"351","#may27coup",12588
"352","#missguidedcybermon",12411
"353","#paris",12176
"354","#covid19pandemic",11957
"355","#pfizer",11942
"356","#cov",11865
"357","#christmas",11854
"358","#saludalserviciodelpueblo",11704
"359","#coronarivus",11648
"360","#hongkong",11409
"361","#russianvaccine",11363
"362","#thingangyun",11282
"363","#worldchildrensday",11279
"364","#txts",11230
"365","#cancelexamssavelives",11156
"366","#protegetusalud",11129
"367","#pandemic",10816
"368","#fox35",10659
"369","#respectourvotes",10525
"370","#coronavaccine",10496
"371","#solidaridadycooperación",10449
"372","#antrabajaconelpueblo",10283
"373","#graciasportulucha",10192
"374","#venezuelaunidayenpaz",10053
"375","#crookedkelly",9880
"376","#alianzadelospueblos",9853
"377","#solobrathukesobetter",9711
"378","#combateprevenciónycontrol",9575
"379","#humanrightsday",9542
"380","#vaksin",9529
"381","#rapimpolri2021",9497
"382","#happynewyear2021",9402
"383","#mco3",9267
"384","#happynewyear",9244
"385","#malaysialockdown",9176
"386","#tundabalikkejakarta",9029
"387","#americanrescueplan",9002
"388","#sputnikvparalavida",8960
"389","#happyrakshabandhan",8887
"390","#rassismusbeibayern3",8588
"391","#merrychristmas",8348
"392","#navidadenfamilia",8229
"393","#iran",7784
"394","#coronarovirus",7610
"395","#cancelallboardexams",7569
"396","#mask",7313
"397","#wuhanpneumonia",7294
"398","#coronavirusitalia",7276
"399","#coronvirus",7154
"400","#dreamfanart",7144
"401","#léa",6823
"402","#coronapocalypse",6773
"403","#coronavirius",6691
"404","#italy",6037
"405","#coronaviruschina",5761
"406","#letsbeatcoronatogether",5691
"407","#liwenliang",5616
"408","#deathsantis",5306
"409","#covidiots",5277
"410","#equalityforturkishstudents",3860
"411","#maralago",2925
"412","#reconciliaciónnacional",2889
"413","#covid19italia",1141
