Tweet_ID,NER_Text,Start_Pos,Eng_Pos,NER_Label,Prob
1251528338121928705,stayhome,43,51,ORG,0.803
1251528338121928705,ncaagym,65,72,ORG,0.717
1251528338667077634,canada,53,59,LOC,1
1251528338679533569,aditya kumar,18,30,PER,0.9975
1251528338679533569,meconemployee,39,52,ORG,0.9986
1251528338679533569,covid-19,99,107,MISC,0.9996
1251528338679578626,indian railways,43,58,MISC,0.6293
1251528338679578626,railways,98,106,ORG,0.891
1251528338813759488,america,64,71,LOC,0.4288
1251528338813759488,covid civil war,77,92,MISC,0.8712
1251528338847551488,obama,39,44,PER,0.9997
1251528338847551488,wuhan,62,67,LOC,0.9999
1251528338868523008,americans,93,102,MISC,0.9996
1251528338872532993,hkpolice,73,81,ORG,0.6405
1251528338872532993,ccp,90,93,ORG,0.9961
1251528338906271751,us intelligence,55,70,ORG,0.7695
1251528338906271751,china,105,110,LOC,1
1251528338968940545,anil kohli,41,51,PER,0.9971
1251528338968940545,acp ludhiana,53,65,ORG,0.9633
1251528338968940545,covid-19,91,99,MISC,0.9916
1251528338968940545,anil,117,121,PER,0.6569
1251528338968940545,punjab po,129,138,ORG,0.6561
1251528339094999040,leclerc,44,51,PER,0.9399
1251528339094999040,albon,62,67,PER,0.9249
1251528339149357059,berlin,74,80,LOC,1
1251528339199672320,asian,46,51,MISC,0.9986
1251528339199672320,china,112,117,LOC,1
1251528339237539840,gretchen whitmer,18,34,PER,0.9078
1251528339237539840,tucker carlson,48,62,PER,0.8948
1251528339262787584,england,37,44,LOC,1
1251528339321389057,americans,23,32,MISC,0.9237
1251528339321389057,aclu,78,82,ORG,0.9974
1251528339350786054,florida,20,27,LOC,0.9928
1251528339350786054,cares act,71,80,MISC,0.8716
1251528339350786054,cov,135,138,MISC,0.7457
1251528339392733191,wuhan,29,34,LOC,0.9999
1251528339392733191,ccp,36,39,ORG,1
1251528339392733191,wuhan,65,70,LOC,1
1251528339392733191,china,95,100,LOC,1
1251528339392733191,wuhan,131,136,LOC,0.999
1251528339401117696,congress,70,78,ORG,0.9996
1251528339401117696,american,126,134,MISC,0.9903
1251528342026805252,bangladesh,89,99,LOC,1
1251528342026805252,islami,131,137,MISC,0.872
1251528342030872577,switzerland,18,29,LOC,1
1251528342030872577,matterhorn,38,48,LOC,0.9859
1251528342030872577,american,82,90,MISC,0.9997
1251528342148460545,europe,35,41,LOC,1
1251528342169321472,biden,85,90,PER,1
1251528342169321472,biden,169,174,PER,1
1251528342177673217,hsn,31,34,ORG,0.9473
1251528342219526148,florida,70,77,LOC,0.5207
1251528342249050117,britain,10,17,LOC,0.9999
1251528342249050117,snuffy,50,56,PER,0.9955
1251528342249095169,lauren,37,43,PER,0.9997
1251528342249095169,god,46,49,PER,0.9989
1251528342324473858,rajasthan,30,39,LOC,0.9893
1251528342324473858,paburam manda,47,60,PER,0.9993
1251528342357938176,democrat party-media,44,64,ORG,0.8387
1251528342416826369,gotta,19,24,PER,0.8771
1251528342517346304,corona,86,92,MISC,0.477
1251528342525771776,one world,67,76,MISC,0.7905
1251528342609805312,rolling stones,23,37,ORG,0.5611
1251528342609805312,one world,54,63,MISC,0.8923
1251528342693707780,public health,119,132,ORG,0.7479
1251528342706274305,toon,97,101,PER,0.4899
1251528342706274305,nightingale,236,247,MISC,0.6759
1251528342706274305,icu,249,252,ORG,0.4186
1251528342798548999,chinese,24,31,MISC,0.9999
1251528342798548999,hexin jiang,40,51,PER,0.9987
1251528342798548999,florida,88,95,LOC,1
1251528346132860930,putin,37,42,PER,1
1251528346132860930,putin-apologists,84,100,MISC,0.9179
1251528346132860930,fox,104,107,PER,0.9797
1251528346187505665,garrett,11,18,PER,0.9768
1251528346187505665,italian,77,84,MISC,0.9988
1251528346346967041,one world,67,76,MISC,0.7905
1251528346414047236,domesticviolence,44,60,MISC,0.8584
1251528346455900160,bbcnews,1,8,ORG,0.5725
1251528346455900160,bbc,46,49,ORG,0.5121
1251528346518896642,mangowanker,0,11,PER,0.8998
1251528346518896642,americans,50,59,MISC,0.9985
1251528346577637377,one world,67,76,MISC,0.7905
1251528346619576320,congress,70,78,ORG,0.9996
1251528346619576320,american,126,134,MISC,0.9903
1251528346716037121,paris,23,28,LOC,0.9487
1251528346716037121,new york,40,48,LOC,0.9995
1251528346716037121,berlin,60,66,LOC,1
1251528346716037121,delhi,78,83,LOC,1
1251528346716037121,mumbai,95,101,LOC,1
1251528346716037121,tokyo,113,118,LOC,1
1251528346716037121,beijing,195,202,LOC,1
1251528346716037121,shanghai,207,215,LOC,1
1251528346716037121,coronavirus,229,240,MISC,0.662
1251528346766381057,covid19,109,116,MISC,0.6758
1251528346997047296,emptyhospitals,135,149,ORG,0.9855
1251528347026444298,america,52,59,LOC,0.9999
1251528347101941760,us,25,27,LOC,0.999
1251528347156447235,cdc,18,21,ORG,1
1251528347156447235,sioux falls,35,46,LOC,0.9973
1251528347156447235,smithfield foods,50,66,ORG,0.9902
1251528347156447235,us,120,124,LOC,0.9997
1251528349979160576,majilovekingdom,27,42,ORG,0.3562
1251528349979160576,camus,123,128,MISC,0.3815
1251528349979160576,kira,139,143,PER,0.9984
1251528349979160576,masato,149,155,PER,0.9999
1251528349979160576,eiichi,166,172,PER,0.988
1251528350197182464,delhi,46,51,LOC,1
1251528350197182464,jahangirpuri,54,66,LOC,0.991
1251528350197182464,hotspot,116,123,MISC,0.6254
1251528350394449923,tui,17,20,ORG,0.9811
1251528350394449923,europe,62,68,LOC,0.9999
1251528350432145409,bobblackman,14,25,PER,0.8986
1251528350432145409,uk,27,29,LOC,0.9993
1251528350432145409,uk,59,61,LOC,0.9985
